기기ID,기기명,기기유형,설치위치,제조사,모델명,설치일자,정격용량,기기상태
EQ0281,열교환기-11,제어판,공장A-1층,현대중공업,MOD-8602,2020-07-03,83.58,정상
EQ0282,열교환기-12,센서,창고-2층,한화Q셀,MOD-9030,2020-06-05,402.21,경고
EQ0283,열교환기-13,펌프,창고-1층,효성,MOD-3341,2020-05-27,169.42,정상
EQ0284,모터-14,열교환기,공장A-2층,한화Q셀,MOD-645,2020-05-01,129.99,경고
EQ0285,열교환기-15,냉각기,창고-1층,케이시,MOD-4446,2020-01-19,361.23,주의
EQ0286,센서-16,열교환기,공장B-1층,삼성중공업,MOD-3910,2020-12-10,328.12,주의
EQ0287,컴프레서-17,변압기,공장A-1층,삼성중공업,MOD-7306,2020-04-21,334.94,정상
EQ0288,냉각기-18,냉각기,공장A-1층,케이시,MOD-9105,2020-02-24,153.0,부분결함
EQ0289,펌프-19,열교환기,공장B-2층,한화Q셀,MOD-2132,2020-11-11,154.69,정상
EQ0290,펌프-20,냉각기,공장B-1층,케이시,MOD-8536,2020-02-25,149.36,주의
EQ0291,냉각기-21,냉각기,공장A-1층,LS산전,MOD-371,2020-02-25,128.19,정상
EQ0292,모터-22,밸브,공장B-1층,케이시,MOD-3611,2020-07-24,345.08,정상
EQ0293,밸브-23,모터,공장A-2층,두산중공업,MOD-1871,2020-11-18,431.61,정상
EQ0294,모터-24,모터,공장A-3층,케이시,MOD-9554,2020-07-12,375.94,부분결함
EQ0295,펌프-25,밸브,공장A-1층,삼성중공업,MOD-4461,2020-06-20,406.44,부분결함
EQ0296,펌프-26,제어판,공장B-2층,두산중공업,MOD-7169,2020-07-13,232.16,정상
EQ0297,냉각기-27,컴프레서,공장A-2층,삼성중공업,MOD-1020,2020-04-16,344.33,정상
EQ0298,열교환기-28,제어판,창고-2층,현대중공업,MOD-8290,2020-02-10,209.41,주의
EQ0299,모터-29,펌프,공장B-1층,효성,MOD-3530,2020-12-23,286.48,정상
EQ0300,제어판-30,펌프,창고-2층,삼성중공업,MOD-4535,2020-08-18,266.74,정상
