기기ID,유지보수일자,유지보수유형,작업내용,소요시간(시간),비용(원),담당자,완료상태
EQ0072,2023-04-25,응급정비,부품 교체,6,422110,최민준,완료
EQ0072,2023-09-27,개선정비,윤활유 교체,5,363678,김철수,완료
EQ0072,2023-10-14,응급정비,부품 교체,7,224634,최민준,완료
EQ0072,2024-02-16,사후정비,청소 및 점검,6,474388,김철수,완료
EQ0073,2023-07-14,예방정비,부품 교체,5,101544,이영희,진행중
EQ0073,2023-07-15,예방정비,조정 및 수리,1,279735,박준호,예정
EQ0073,2023-11-13,개선정비,전기 점검,2,314029,김철수,진행중
EQ0073,2023-12-28,응급정비,청소 및 점검,5,192841,최민준,완료
EQ0074,2023-01-30,사후정비,전기 점검,5,471496,정수현,완료
EQ0074,2023-03-24,사후정비,전기 점검,3,384747,이영희,완료
EQ0074,2023-09-28,사후정비,조정 및 수리,6,336304,최민준,완료
EQ0074,2024-01-17,응급정비,윤활유 교체,1,383822,최민준,완료
EQ0074,2024-07-01,사후정비,전기 점검,1,405418,최민준,완료
EQ0074,2024-07-30,응급정비,전기 점검,6,378558,김철수,진행중
EQ0075,2023-02-26,사후정비,전기 점검,7,274376,박준호,진행중
EQ0075,2023-05-03,사후정비,전기 점검,7,247610,이영희,완료
EQ0075,2023-09-21,사후정비,부품 교체,6,178443,박준호,완료
EQ0075,2024-03-31,예방정비,전기 점검,5,209135,김철수,완료
EQ0076,2023-02-21,예방정비,청소 및 점검,3,169925,박준호,완료
EQ0076,2023-06-10,사후정비,전기 점검,7,140962,최민준,예정
EQ0076,2023-07-23,사후정비,전기 점검,3,109031,최민준,완료
EQ0076,2023-10-11,사후정비,부품 교체,4,228568,최민준,완료
EQ0076,2023-10-24,개선정비,윤활유 교체,7,246086,김철수,완료
EQ0076,2024-03-29,개선정비,청소 및 점검,7,100985,정수현,진행중
EQ0076,2024-05-01,예방정비,부품 교체,4,476606,김철수,완료
EQ0076,2024-05-10,예방정비,윤활유 교체,7,60209,정수현,완료
EQ0077,2023-02-28,사후정비,윤활유 교체,3,236342,이영희,완료
EQ0077,2023-06-03,응급정비,윤활유 교체,6,186731,이영희,완료
EQ0077,2023-06-27,응급정비,조정 및 수리,2,319570,김철수,완료
EQ0077,2023-07-28,개선정비,전기 점검,7,80796,이영희,완료
EQ0077,2023-10-02,개선정비,전기 점검,4,243806,정수현,완료
EQ0077,2023-10-27,개선정비,부품 교체,4,80993,정수현,완료
EQ0077,2023-11-28,개선정비,조정 및 수리,4,87879,이영희,진행중
EQ0077,2024-02-28,응급정비,청소 및 점검,1,186207,김철수,예정
EQ0078,2023-03-10,예방정비,청소 및 점검,1,299720,박준호,완료
EQ0078,2023-04-16,사후정비,윤활유 교체,3,183404,정수현,완료
EQ0078,2023-09-06,예방정비,전기 점검,7,277778,최민준,완료
EQ0078,2023-11-09,개선정비,전기 점검,5,236982,김철수,완료
EQ0078,2024-03-21,개선정비,부품 교체,1,138309,이영희,완료
EQ0079,2023-01-02,사후정비,윤활유 교체,4,376891,김철수,완료
EQ0079,2023-10-20,예방정비,전기 점검,2,145011,정수현,완료
EQ0079,2023-11-08,사후정비,윤활유 교체,7,375886,김철수,완료
EQ0079,2023-11-08,예방정비,청소 및 점검,6,224122,이영희,예정
EQ0079,2024-06-02,개선정비,윤활유 교체,3,205934,최민준,완료
EQ0079,2024-07-09,예방정비,윤활유 교체,1,248641,최민준,완료
EQ0079,2024-07-14,응급정비,조정 및 수리,4,407085,김철수,완료
EQ0080,2023-04-24,개선정비,조정 및 수리,4,158768,김철수,완료
EQ0080,2023-08-13,예방정비,윤활유 교체,1,253814,김철수,예정
EQ0080,2023-11-14,응급정비,전기 점검,6,267501,최민준,완료
EQ0080,2024-02-09,개선정비,윤활유 교체,5,413267,박준호,완료
EQ0080,2024-07-26,예방정비,청소 및 점검,1,325731,최민준,완료
EQ0081,2023-08-11,예방정비,청소 및 점검,4,470290,정수현,완료
EQ0081,2023-09-17,예방정비,조정 및 수리,4,382991,정수현,완료
EQ0081,2023-11-12,사후정비,부품 교체,5,158898,최민준,완료
EQ0081,2023-12-14,예방정비,전기 점검,3,114427,이영희,완료
EQ0081,2024-02-01,사후정비,윤활유 교체,7,143695,박준호,완료
EQ0081,2024-02-29,예방정비,전기 점검,7,286871,박준호,완료
EQ0081,2024-06-20,개선정비,전기 점검,5,236372,최민준,완료
EQ0082,2023-05-19,응급정비,조정 및 수리,7,158262,최민준,완료
EQ0082,2023-09-01,예방정비,윤활유 교체,6,143262,정수현,완료
EQ0083,2023-01-07,응급정비,청소 및 점검,1,309381,김철수,완료
EQ0083,2023-05-23,예방정비,청소 및 점검,5,376710,박준호,완료
EQ0083,2023-05-28,응급정비,조정 및 수리,2,234075,김철수,예정
EQ0083,2023-07-04,예방정비,전기 점검,7,192411,이영희,예정
EQ0083,2023-09-28,사후정비,청소 및 점검,4,69944,최민준,완료
EQ0083,2024-04-17,사후정비,윤활유 교체,7,112976,김철수,완료
EQ0084,2023-10-08,개선정비,전기 점검,2,454355,박준호,완료
EQ0084,2023-10-08,응급정비,청소 및 점검,6,271507,박준호,완료
EQ0084,2023-12-17,사후정비,청소 및 점검,3,351970,김철수,완료
EQ0084,2024-05-16,예방정비,전기 점검,5,228164,김철수,완료
EQ0085,2023-03-30,개선정비,전기 점검,2,202473,최민준,완료
EQ0085,2023-04-10,응급정비,청소 및 점검,6,187858,이영희,완료
EQ0085,2023-05-20,응급정비,조정 및 수리,2,290381,정수현,완료
EQ0085,2023-06-14,응급정비,조정 및 수리,3,436651,이영희,완료
EQ0085,2023-08-07,예방정비,전기 점검,4,145707,이영희,완료
EQ0085,2023-08-25,개선정비,부품 교체,7,110854,김철수,완료
EQ0085,2024-03-11,예방정비,윤활유 교체,2,358357,정수현,완료
EQ0085,2024-08-15,개선정비,윤활유 교체,4,146915,박준호,완료
EQ0086,2023-01-07,개선정비,조정 및 수리,4,119745,최민준,완료
EQ0086,2023-02-13,사후정비,청소 및 점검,5,409045,이영희,완료
EQ0086,2023-02-21,응급정비,윤활유 교체,6,302140,정수현,완료
EQ0086,2024-04-05,예방정비,조정 및 수리,3,426169,정수현,완료
EQ0086,2024-04-13,예방정비,조정 및 수리,4,100277,정수현,완료
EQ0086,2024-04-29,예방정비,전기 점검,4,410614,최민준,완료
EQ0086,2024-07-29,응급정비,전기 점검,3,92115,김철수,진행중
EQ0087,2023-02-01,개선정비,조정 및 수리,3,57898,김철수,완료
EQ0087,2023-02-04,예방정비,윤활유 교체,7,178934,김철수,완료
EQ0087,2023-04-03,예방정비,부품 교체,3,208438,정수현,완료
EQ0087,2023-04-20,개선정비,조정 및 수리,1,357941,박준호,완료
EQ0087,2023-09-16,예방정비,부품 교체,6,488580,최민준,예정
EQ0088,2023-08-29,예방정비,전기 점검,7,468412,박준호,완료
EQ0088,2023-09-05,응급정비,윤활유 교체,4,65096,박준호,완료
EQ0088,2023-10-24,응급정비,전기 점검,7,471849,박준호,완료
EQ0088,2023-11-12,개선정비,청소 및 점검,7,251599,박준호,진행중
EQ0088,2023-11-23,예방정비,전기 점검,5,102287,김철수,완료
EQ0088,2024-06-12,개선정비,청소 및 점검,4,178081,김철수,완료
EQ0088,2024-06-14,사후정비,윤활유 교체,6,356422,박준호,예정
EQ0088,2024-08-19,예방정비,윤활유 교체,4,471009,최민준,완료
EQ0089,2023-07-09,응급정비,전기 점검,7,407525,정수현,완료
EQ0089,2023-07-26,사후정비,전기 점검,1,428884,박준호,완료
EQ0089,2023-08-19,개선정비,전기 점검,3,405029,최민준,완료
EQ0089,2023-08-20,예방정비,청소 및 점검,5,159538,김철수,진행중
EQ0089,2024-01-01,예방정비,조정 및 수리,1,200163,이영희,완료
EQ0089,2024-02-04,예방정비,윤활유 교체,2,89253,이영희,완료
EQ0089,2024-02-25,예방정비,윤활유 교체,2,66035,최민준,완료
EQ0089,2024-03-08,예방정비,윤활유 교체,1,191527,김철수,완료
EQ0090,2023-04-11,응급정비,부품 교체,1,358534,정수현,완료
EQ0090,2023-07-30,사후정비,전기 점검,2,327176,최민준,완료
EQ0090,2023-11-19,응급정비,조정 및 수리,3,335158,최민준,완료
EQ0090,2024-02-07,응급정비,윤활유 교체,5,437529,김철수,완료
EQ0090,2024-04-09,개선정비,윤활유 교체,3,306350,최민준,완료
EQ0090,2024-08-20,응급정비,윤활유 교체,6,150265,정수현,완료
EQ0091,2023-05-19,개선정비,청소 및 점검,3,408948,최민준,완료
EQ0091,2023-06-02,예방정비,윤활유 교체,2,425503,이영희,완료
EQ0091,2023-12-29,예방정비,청소 및 점검,7,287560,이영희,완료
EQ0091,2024-02-23,사후정비,청소 및 점검,3,321507,김철수,완료
EQ0091,2024-07-09,응급정비,조정 및 수리,2,160383,정수현,완료
EQ0091,2024-07-28,개선정비,조정 및 수리,4,469283,정수현,완료
EQ0092,2023-03-11,사후정비,전기 점검,7,63070,김철수,완료
EQ0092,2024-06-14,개선정비,윤활유 교체,5,428936,최민준,완료
EQ0093,2023-12-09,개선정비,전기 점검,4,139338,박준호,완료
EQ0093,2024-01-15,개선정비,조정 및 수리,6,198953,정수현,완료
EQ0093,2024-04-06,예방정비,전기 점검,5,404757,최민준,완료
EQ0093,2024-06-19,개선정비,윤활유 교체,1,195219,김철수,완료
EQ0093,2024-07-04,응급정비,조정 및 수리,5,489681,이영희,완료
EQ0094,2023-01-21,사후정비,부품 교체,2,56504,이영희,진행중
EQ0094,2023-08-13,사후정비,전기 점검,7,386841,김철수,진행중
EQ0094,2023-10-19,개선정비,윤활유 교체,1,277581,최민준,완료
EQ0094,2023-12-06,응급정비,조정 및 수리,6,248812,박준호,완료
EQ0094,2023-12-16,개선정비,윤활유 교체,1,411930,이영희,완료
EQ0094,2024-07-08,개선정비,청소 및 점검,6,212282,박준호,완료
EQ0094,2024-08-04,개선정비,조정 및 수리,7,391688,정수현,진행중
EQ0095,2023-11-02,예방정비,윤활유 교체,2,236293,최민준,완료
EQ0095,2023-12-23,예방정비,윤활유 교체,5,323611,최민준,완료
EQ0096,2023-06-13,예방정비,조정 및 수리,7,336563,박준호,완료
EQ0096,2023-11-24,사후정비,청소 및 점검,1,110356,김철수,완료
EQ0097,2023-05-15,사후정비,부품 교체,7,58157,이영희,완료
EQ0097,2023-09-03,사후정비,청소 및 점검,6,438370,박준호,완료
EQ0097,2023-12-11,개선정비,청소 및 점검,2,275573,정수현,완료
EQ0097,2024-01-24,응급정비,부품 교체,6,288875,정수현,완료
EQ0097,2024-03-27,응급정비,전기 점검,7,398924,정수현,완료
EQ0097,2024-04-27,응급정비,전기 점검,2,424938,박준호,완료
EQ0097,2024-05-22,예방정비,조정 및 수리,6,179417,박준호,완료
EQ0097,2024-05-29,사후정비,윤활유 교체,2,136170,이영희,진행중
EQ0098,2023-08-01,개선정비,청소 및 점검,1,82947,정수현,진행중
EQ0098,2024-03-20,응급정비,전기 점검,3,137687,정수현,완료
EQ0098,2024-06-05,예방정비,전기 점검,3,458331,이영희,완료
EQ0099,2023-01-24,사후정비,윤활유 교체,2,126552,정수현,완료
EQ0099,2023-05-01,개선정비,조정 및 수리,1,496936,김철수,완료
EQ0099,2023-05-08,사후정비,전기 점검,4,91988,정수현,완료
EQ0099,2023-06-01,예방정비,부품 교체,7,229081,이영희,완료
EQ0099,2023-12-11,예방정비,부품 교체,2,85860,김철수,완료
EQ0099,2024-02-24,예방정비,청소 및 점검,1,224159,이영희,완료
EQ0099,2024-06-11,응급정비,전기 점검,2,445935,이영희,완료
EQ0100,2023-04-26,예방정비,조정 및 수리,5,177000,박준호,완료
EQ0100,2023-05-06,예방정비,전기 점검,6,418076,최민준,완료
EQ0100,2023-09-26,응급정비,청소 및 점검,3,332172,김철수,완료
EQ0100,2023-09-27,예방정비,전기 점검,7,199239,최민준,완료
EQ0100,2023-12-24,응급정비,전기 점검,2,455847,박준호,완료
EQ0100,2024-04-12,예방정비,전기 점검,2,374502,이영희,진행중
EQ0101,2023-01-05,예방정비,조정 및 수리,2,166284,김철수,완료
EQ0101,2023-03-04,응급정비,조정 및 수리,6,251484,박준호,완료
EQ0102,2023-03-04,예방정비,청소 및 점검,1,151683,이영희,진행중
EQ0102,2023-04-17,예방정비,윤활유 교체,5,138683,정수현,완료
EQ0103,2023-01-19,개선정비,조정 및 수리,3,227142,이영희,완료
EQ0103,2023-05-09,예방정비,조정 및 수리,4,328795,정수현,완료
EQ0103,2024-01-07,응급정비,조정 및 수리,3,293512,박준호,완료
EQ0103,2024-02-14,예방정비,청소 및 점검,7,180184,정수현,완료
EQ0103,2024-02-23,사후정비,부품 교체,1,382857,정수현,완료
EQ0103,2024-03-05,응급정비,윤활유 교체,4,132969,이영희,완료
EQ0103,2024-08-01,개선정비,조정 및 수리,4,417613,박준호,완료
EQ0104,2023-10-04,예방정비,부품 교체,7,457443,이영희,완료
EQ0104,2023-11-27,사후정비,청소 및 점검,4,233618,이영희,완료
EQ0104,2024-01-14,사후정비,윤활유 교체,5,350885,이영희,완료
EQ0104,2024-04-03,개선정비,부품 교체,1,459806,정수현,완료
EQ0104,2024-06-08,사후정비,전기 점검,2,189223,최민준,완료
EQ0104,2024-07-01,사후정비,전기 점검,5,457626,최민준,완료
EQ0105,2023-07-07,예방정비,부품 교체,2,495634,이영희,완료
EQ0105,2024-08-14,예방정비,전기 점검,2,322766,김철수,진행중
EQ0106,2023-08-13,예방정비,윤활유 교체,5,410186,김철수,완료
EQ0106,2024-03-01,응급정비,윤활유 교체,5,171522,이영희,완료
EQ0107,2023-02-11,응급정비,전기 점검,5,252001,최민준,완료
EQ0107,2024-03-13,응급정비,부품 교체,7,240376,정수현,완료
EQ0108,2023-02-02,개선정비,조정 및 수리,1,57293,김철수,완료
EQ0108,2023-02-26,개선정비,부품 교체,5,130823,이영희,완료
EQ0108,2023-02-28,개선정비,전기 점검,5,200878,정수현,완료
EQ0108,2023-07-30,예방정비,청소 및 점검,5,312190,최민준,완료
EQ0108,2023-11-17,사후정비,윤활유 교체,3,227996,박준호,완료
EQ0108,2023-12-08,응급정비,조정 및 수리,3,104669,박준호,완료
EQ0109,2023-06-21,사후정비,부품 교체,6,389838,정수현,완료
EQ0109,2023-07-15,개선정비,전기 점검,3,231810,이영희,완료
EQ0109,2023-11-24,예방정비,전기 점검,1,359132,이영희,완료
EQ0109,2024-01-10,사후정비,부품 교체,2,69133,이영희,완료
EQ0109,2024-01-17,개선정비,조정 및 수리,7,85495,김철수,완료
EQ0109,2024-08-18,응급정비,윤활유 교체,1,412430,김철수,완료
EQ0110,2023-05-28,예방정비,조정 및 수리,6,165625,김철수,완료
EQ0110,2023-11-15,예방정비,청소 및 점검,1,428035,박준호,완료
EQ0110,2024-01-26,예방정비,전기 점검,5,240927,이영희,완료
EQ0111,2023-04-06,개선정비,부품 교체,4,185141,정수현,완료
EQ0111,2023-09-02,예방정비,부품 교체,6,115881,정수현,완료
EQ0111,2024-06-16,사후정비,청소 및 점검,7,144258,김철수,완료
EQ0111,2024-07-23,개선정비,조정 및 수리,2,499717,박준호,완료
EQ0111,2024-08-21,응급정비,윤활유 교체,3,228250,김철수,완료
EQ0112,2023-08-02,개선정비,부품 교체,7,419948,정수현,완료
EQ0112,2023-09-02,사후정비,윤활유 교체,3,230664,이영희,진행중
EQ0112,2024-02-16,사후정비,부품 교체,4,63269,정수현,진행중
EQ0113,2023-06-21,사후정비,청소 및 점검,3,466556,정수현,완료
EQ0113,2023-07-23,개선정비,전기 점검,4,347448,정수현,완료
EQ0113,2023-09-22,개선정비,조정 및 수리,1,311003,이영희,완료
EQ0114,2023-06-07,사후정비,부품 교체,7,468011,박준호,완료
EQ0114,2023-11-26,사후정비,전기 점검,1,487810,박준호,진행중
EQ0114,2024-07-15,예방정비,청소 및 점검,3,146396,김철수,완료
EQ0115,2023-01-05,사후정비,조정 및 수리,6,338729,박준호,완료
EQ0115,2024-05-07,개선정비,조정 및 수리,7,369319,최민준,완료
EQ0116,2023-01-30,개선정비,청소 및 점검,7,305920,정수현,진행중
EQ0116,2023-09-01,예방정비,조정 및 수리,7,88635,정수현,완료
EQ0116,2023-10-19,사후정비,전기 점검,3,272064,정수현,진행중
EQ0116,2024-01-02,사후정비,청소 및 점검,6,481224,박준호,완료
EQ0116,2024-03-20,사후정비,조정 및 수리,4,419445,정수현,진행중
EQ0116,2024-08-04,응급정비,조정 및 수리,4,330570,정수현,완료
EQ0117,2023-01-31,예방정비,전기 점검,4,134028,박준호,완료
EQ0117,2023-10-27,예방정비,전기 점검,7,299824,이영희,완료
EQ0117,2023-11-02,예방정비,부품 교체,7,242375,김철수,진행중
EQ0117,2023-11-27,사후정비,조정 및 수리,6,282756,이영희,완료
EQ0117,2023-12-01,개선정비,부품 교체,7,410938,정수현,완료
EQ0118,2023-01-26,예방정비,조정 및 수리,2,153556,김철수,완료
EQ0118,2023-08-10,예방정비,부품 교체,1,118923,박준호,진행중
EQ0118,2023-09-18,개선정비,청소 및 점검,7,266739,정수현,완료
EQ0118,2024-07-23,사후정비,조정 및 수리,1,157041,최민준,완료
EQ0119,2023-02-18,개선정비,부품 교체,5,412340,김철수,완료
EQ0119,2023-05-14,응급정비,부품 교체,5,149364,최민준,완료
EQ0119,2023-05-19,사후정비,부품 교체,1,307287,최민준,완료
EQ0119,2023-06-24,예방정비,전기 점검,6,263214,정수현,완료
EQ0119,2023-09-05,개선정비,조정 및 수리,4,465890,정수현,완료
EQ0119,2023-11-01,개선정비,전기 점검,2,329759,정수현,완료
EQ0119,2023-11-14,예방정비,윤활유 교체,2,208938,최민준,완료
EQ0119,2023-11-23,사후정비,부품 교체,7,264156,이영희,완료
EQ0120,2023-09-03,예방정비,부품 교체,3,323387,정수현,완료
EQ0120,2023-11-19,예방정비,부품 교체,3,88593,박준호,완료
EQ0120,2023-12-13,예방정비,조정 및 수리,1,292791,박준호,완료
EQ0120,2024-01-15,개선정비,윤활유 교체,5,298739,이영희,완료
EQ0121,2023-03-17,개선정비,조정 및 수리,4,433288,박준호,진행중
EQ0121,2023-06-09,사후정비,윤활유 교체,6,320436,이영희,완료
EQ0121,2023-08-30,응급정비,부품 교체,5,387645,이영희,완료
EQ0121,2023-11-10,예방정비,부품 교체,7,302673,정수현,진행중
EQ0121,2023-12-09,사후정비,부품 교체,7,217534,김철수,완료
EQ0121,2024-02-03,예방정비,윤활유 교체,4,242803,김철수,완료
EQ0121,2024-02-20,예방정비,부품 교체,5,413845,박준호,완료
EQ0121,2024-04-21,사후정비,부품 교체,4,274491,정수현,완료
EQ0122,2023-04-16,예방정비,부품 교체,6,342383,이영희,완료
EQ0122,2023-07-10,사후정비,청소 및 점검,5,287134,최민준,완료
EQ0122,2023-09-12,개선정비,부품 교체,4,272156,이영희,완료
EQ0122,2023-09-30,사후정비,윤활유 교체,1,372411,이영희,완료
EQ0122,2023-11-15,예방정비,청소 및 점검,1,317387,최민준,진행중
EQ0122,2024-06-30,개선정비,조정 및 수리,5,115702,최민준,예정
EQ0122,2024-07-05,응급정비,전기 점검,7,305369,정수현,완료
EQ0122,2024-08-01,개선정비,부품 교체,3,108133,최민준,완료
EQ0123,2023-03-24,사후정비,청소 및 점검,1,81403,최민준,완료
EQ0123,2023-05-29,사후정비,윤활유 교체,4,401733,최민준,완료
EQ0123,2023-08-04,사후정비,전기 점검,3,219623,이영희,진행중
EQ0123,2023-08-20,응급정비,조정 및 수리,6,371200,정수현,진행중
EQ0123,2023-09-28,예방정비,조정 및 수리,2,197227,박준호,완료
EQ0124,2023-02-01,개선정비,조정 및 수리,2,394472,최민준,완료
EQ0124,2023-06-06,예방정비,부품 교체,3,444417,최민준,완료
EQ0124,2023-06-14,예방정비,부품 교체,5,216375,정수현,완료
EQ0124,2023-06-28,개선정비,전기 점검,1,136951,정수현,완료
EQ0124,2023-11-07,사후정비,청소 및 점검,3,316456,최민준,완료
EQ0124,2023-11-08,응급정비,청소 및 점검,1,380768,김철수,완료
EQ0124,2024-03-31,개선정비,청소 및 점검,5,178391,최민준,완료
EQ0124,2024-08-10,개선정비,전기 점검,4,368102,박준호,완료
EQ0125,2023-03-02,예방정비,부품 교체,7,345169,정수현,완료
EQ0125,2023-03-20,개선정비,부품 교체,6,443583,이영희,완료
EQ0125,2023-03-29,사후정비,부품 교체,3,329088,정수현,완료
EQ0125,2023-04-29,예방정비,전기 점검,4,399001,박준호,완료
EQ0125,2023-05-28,사후정비,윤활유 교체,5,263184,박준호,완료
EQ0125,2023-06-28,응급정비,청소 및 점검,2,278745,정수현,완료
EQ0125,2023-07-20,응급정비,윤활유 교체,3,196083,최민준,완료
EQ0125,2024-06-11,응급정비,전기 점검,6,152613,정수현,완료
EQ0126,2023-10-27,개선정비,윤활유 교체,5,289273,김철수,완료
EQ0126,2023-11-07,사후정비,청소 및 점검,2,319793,박준호,완료
EQ0126,2024-03-15,개선정비,부품 교체,7,407173,이영희,완료
EQ0126,2024-06-08,예방정비,부품 교체,3,207788,이영희,완료
EQ0126,2024-08-06,사후정비,윤활유 교체,5,247449,정수현,완료
EQ0127,2023-03-26,사후정비,전기 점검,2,447595,최민준,완료
EQ0127,2023-04-07,개선정비,윤활유 교체,1,459856,최민준,완료
EQ0127,2023-05-14,사후정비,청소 및 점검,4,223548,정수현,완료
EQ0127,2024-08-04,응급정비,조정 및 수리,4,336382,정수현,완료
EQ0128,2023-06-08,개선정비,조정 및 수리,7,159756,정수현,완료
EQ0128,2023-10-07,응급정비,윤활유 교체,4,123400,이영희,진행중
EQ0128,2023-11-02,응급정비,전기 점검,7,377266,이영희,완료
EQ0128,2024-05-20,사후정비,조정 및 수리,2,201957,정수현,완료
EQ0128,2024-06-06,사후정비,청소 및 점검,6,350020,박준호,완료
EQ0128,2024-07-18,예방정비,청소 및 점검,1,184528,최민준,완료
EQ0128,2024-08-05,사후정비,부품 교체,4,243378,이영희,완료
EQ0129,2023-12-31,예방정비,조정 및 수리,2,200164,최민준,완료
EQ0129,2024-05-19,개선정비,부품 교체,5,127263,이영희,완료
EQ0129,2024-06-11,사후정비,부품 교체,3,259816,정수현,완료
EQ0130,2023-09-19,개선정비,조정 및 수리,6,385156,최민준,완료
EQ0130,2023-11-21,사후정비,조정 및 수리,2,375156,정수현,완료
EQ0131,2023-06-22,사후정비,부품 교체,1,274094,김철수,완료
EQ0131,2023-08-15,개선정비,윤활유 교체,5,163872,정수현,완료
EQ0131,2023-09-26,예방정비,윤활유 교체,3,394200,최민준,완료
EQ0131,2023-12-01,사후정비,부품 교체,6,184802,정수현,완료
EQ0131,2023-12-14,예방정비,조정 및 수리,6,210747,이영희,완료
EQ0131,2024-02-01,예방정비,전기 점검,2,383024,김철수,완료
EQ0131,2024-03-06,사후정비,조정 및 수리,6,68658,최민준,완료
EQ0131,2024-07-25,예방정비,부품 교체,5,191295,이영희,완료
EQ0132,2023-06-18,예방정비,조정 및 수리,5,254404,최민준,완료
EQ0132,2023-08-06,응급정비,청소 및 점검,1,344768,김철수,완료
EQ0132,2023-08-06,응급정비,윤활유 교체,1,246532,박준호,완료
EQ0132,2023-10-27,사후정비,전기 점검,5,254228,정수현,진행중
EQ0132,2024-06-02,예방정비,부품 교체,5,449678,김철수,완료
EQ0133,2023-03-06,사후정비,윤활유 교체,2,438775,이영희,완료
EQ0133,2024-03-18,예방정비,윤활유 교체,5,147580,이영희,완료
EQ0133,2024-06-05,응급정비,부품 교체,7,255163,최민준,완료
EQ0134,2023-07-29,개선정비,전기 점검,6,124625,박준호,완료
EQ0134,2023-08-08,예방정비,조정 및 수리,3,439943,김철수,완료
EQ0134,2023-09-05,사후정비,조정 및 수리,1,88398,정수현,완료
EQ0134,2023-10-30,사후정비,조정 및 수리,4,170451,박준호,완료
EQ0134,2024-01-08,응급정비,청소 및 점검,3,361302,김철수,완료
EQ0134,2024-05-07,사후정비,부품 교체,3,99874,이영희,완료
EQ0134,2024-05-28,사후정비,조정 및 수리,2,408780,최민준,완료
EQ0134,2024-07-14,응급정비,부품 교체,4,224941,박준호,완료
EQ0135,2023-02-24,응급정비,부품 교체,7,308744,정수현,완료
EQ0135,2023-05-11,예방정비,조정 및 수리,2,101697,정수현,완료
EQ0135,2023-05-31,응급정비,청소 및 점검,1,210412,박준호,완료
EQ0135,2023-07-30,사후정비,조정 및 수리,7,102763,정수현,완료
EQ0135,2023-10-14,예방정비,전기 점검,4,239448,최민준,완료
EQ0135,2023-12-20,개선정비,부품 교체,4,383107,최민준,완료
EQ0136,2023-03-16,사후정비,윤활유 교체,7,192953,최민준,완료
EQ0136,2023-07-31,개선정비,윤활유 교체,5,163100,김철수,완료
EQ0136,2023-09-03,예방정비,청소 및 점검,2,181356,최민준,완료
EQ0136,2023-10-27,예방정비,전기 점검,4,456896,이영희,진행중
EQ0136,2023-11-08,사후정비,전기 점검,2,444710,최민준,완료
EQ0136,2024-03-11,사후정비,조정 및 수리,5,114370,이영희,완료
EQ0137,2023-02-16,개선정비,부품 교체,2,282198,정수현,완료
EQ0137,2023-11-16,응급정비,조정 및 수리,4,344179,정수현,완료
EQ0137,2024-03-14,사후정비,부품 교체,5,197964,박준호,완료
EQ0137,2024-05-05,개선정비,전기 점검,2,55282,최민준,완료
EQ0137,2024-08-19,사후정비,부품 교체,7,73968,김철수,완료
EQ0138,2024-07-02,예방정비,청소 및 점검,1,149199,이영희,완료
EQ0138,2024-07-08,사후정비,윤활유 교체,5,257080,박준호,완료
EQ0139,2023-04-16,예방정비,조정 및 수리,2,496674,이영희,완료
EQ0139,2024-07-18,개선정비,부품 교체,2,417925,박준호,완료
EQ0140,2023-09-30,사후정비,전기 점검,6,266306,이영희,완료
EQ0140,2024-02-28,응급정비,청소 및 점검,6,371238,이영희,완료
EQ0141,2023-01-09,사후정비,부품 교체,5,220167,이영희,완료
EQ0141,2023-01-26,응급정비,청소 및 점검,4,357744,이영희,완료
EQ0141,2023-04-24,응급정비,부품 교체,3,124772,김철수,완료
EQ0141,2023-10-16,개선정비,청소 및 점검,2,236254,최민준,완료
EQ0141,2023-10-16,응급정비,전기 점검,4,376523,최민준,진행중
EQ0141,2023-11-20,개선정비,부품 교체,7,50792,최민준,완료
EQ0141,2024-04-28,예방정비,전기 점검,5,60370,김철수,완료
EQ0142,2024-03-12,예방정비,부품 교체,4,241393,김철수,완료
EQ0142,2024-06-16,예방정비,전기 점검,2,71433,정수현,완료
EQ0143,2023-01-11,개선정비,부품 교체,6,443675,정수현,완료
EQ0143,2023-02-20,사후정비,조정 및 수리,7,203960,박준호,완료
EQ0143,2023-08-29,응급정비,조정 및 수리,7,215518,김철수,완료
EQ0143,2023-11-23,예방정비,청소 및 점검,4,407648,박준호,완료
EQ0143,2024-08-01,응급정비,전기 점검,2,78831,이영희,완료
EQ0144,2023-02-08,개선정비,청소 및 점검,5,294035,박준호,완료
EQ0144,2023-03-22,예방정비,부품 교체,2,70931,박준호,완료
EQ0144,2024-04-11,개선정비,조정 및 수리,3,236252,이영희,진행중
EQ0144,2024-07-09,예방정비,부품 교체,1,485938,김철수,완료
EQ0144,2024-08-12,사후정비,윤활유 교체,6,492419,박준호,완료
EQ0145,2023-04-02,응급정비,청소 및 점검,3,292330,김철수,완료
EQ0145,2023-04-14,응급정비,청소 및 점검,4,255936,이영희,완료
EQ0145,2023-07-18,개선정비,조정 및 수리,1,222992,최민준,완료
EQ0145,2023-07-28,예방정비,윤활유 교체,4,97594,박준호,완료
EQ0145,2023-08-06,예방정비,윤활유 교체,5,189258,정수현,완료
EQ0145,2023-12-14,예방정비,전기 점검,6,357382,최민준,완료
EQ0145,2023-12-30,예방정비,조정 및 수리,6,223184,박준호,완료
EQ0146,2023-01-19,개선정비,부품 교체,2,232069,박준호,예정
EQ0146,2023-03-11,예방정비,청소 및 점검,4,273544,박준호,완료
