기기ID,기기명,기기유형,설치위치,제조사,모델명,설치일자,정격용량,기기상태,최근점검일자,최근점검항목,최근점검결과,최근유지보수일자,최근유지보수유형,총비용
EQ0173,냉각기-23,변압기,공장B-1층,LS산전,MOD-9542,2020-01-09,153.87,정상,2024-07-27,외관검사,정상,2024-08-17,예방정비,1997657
EQ0174,펌프-24,냉각기,공장B-2층,한화Q셀,MOD-1433,2020-01-13,255.59,정상,2024-07-26,절연저항,정상,2024-05-15,예방정비,271681
EQ0175,센서-25,컴프레서,공장A-2층,한화Q셀,MOD-4250,2020-04-26,135.65,주의,2024-03-13,외관검사,정상,2024-03-26,응급정비,711238
EQ0176,펌프-26,센서,창고-1층,LS산전,MOD-6866,2020-06-07,73.55,주의,2024-06-26,유량측정,주의,2024-07-03,개선정비,881530
EQ0177,펌프-27,밸브,공장B-2층,케이시,MOD-2811,2020-02-06,220.31,정상,2024-07-16,온도측정,경고,2024-05-20,응급정비,800873
EQ0178,컴프레서-28,제어판,공장A-2층,LS산전,MOD-4953,2020-07-26,213.32,정상,2024-07-07,압력검사,정상,2024-03-13,개선정비,1775999
EQ0179,컴프레서-29,냉각기,공장B-2층,현대중공업,MOD-6312,2020-10-18,497.97,주의,2024-08-14,소음진동,정상,2024-06-06,개선정비,1617584
EQ0180,열교환기-30,제어판,창고-1층,효성,MOD-7579,2020-02-10,250.86,정상,2024-07-06,압력검사,정상,2023-08-15,개선정비,427657
EQ0181,분사기-1,밸브,공장A-3층,케이시,MOD-5508,2020-07-12,200.11,정상,2024-06-09,외관검사,정상,2024-06-09,사후정비,1252639
EQ0182,냉각기-2,변압기,공장A-3층,케이시,MOD-7815,2020-01-08,311.21,정상,2024-08-06,소음진동,정상,2024-08-13,개선정비,2079675
EQ0183,펌프-3,냉각기,공장A-3층,두산중공업,MOD-9042,2020-11-03,89.95,정상,2024-07-24,유량측정,정상,2024-05-14,응급정비,2165985
EQ0184,펌프-4,제어판,공장A-3층,삼성중공업,MOD-1862,2020-11-06,482.75,정상,2024-06-26,유량측정,불량,2023-04-05,응급정비,549758
EQ0185,모터-5,센서,창고-2층,효성,MOD-7201,2020-09-06,335.73,정상,2024-07-05,유량측정,정상,2024-08-17,개선정비,360318
EQ0186,컴프레서-6,모터,공장A-1층,한화Q셀,MOD-7774,2020-09-07,389.68,정상,2024-07-03,절연저항,정상,2024-07-19,예방정비,909355
EQ0187,냉각기-7,펌프,창고-2층,케이시,MOD-6222,2020-09-18,126.72,경고,2024-08-11,온도측정,주의,2024-05-30,사후정비,748729
EQ0188,변압기-8,모터,창고-2층,LS산전,MOD-581,2020-12-08,234.27,정상,2024-08-11,소음진동,주의,2024-03-05,응급정비,1291807
EQ0189,열교환기-9,밸브,창고-2층,효성,MOD-253,2020-08-18,240.21,주의,2024-08-01,절연저항,정상,2024-06-14,예방정비,640513
EQ0190,분사기-10,컴프레서,공장A-3층,두산중공업,MOD-7717,2020-12-20,419.81,정상,2024-02-09,외관검사,정상,2024-08-08,응급정비,699229
EQ0191,밸브-11,펌프,창고-1층,한화Q셀,MOD-1624,2020-11-07,50.56,정상,2024-05-26,소음진동,경고,2023-11-11,사후정비,1617132
EQ0192,분사기-12,분사기,공장B-1층,삼성중공업,MOD-2220,2020-11-20,185.38,주의,2024-06-01,소음진동,정상,2023-09-16,개선정비,795325
EQ0193,센서-13,센서,공장B-1층,삼성중공업,MOD-2443,2020-04-06,491.56,정상,2023-12-05,온도측정,불량,2023-05-03,예방정비,736428
EQ0194,펌프-14,분사기,공장A-1층,두산중공업,MOD-5236,2020-10-22,263.7,정상,2024-07-07,외관검사,정상,2024-08-16,응급정비,1759978
EQ0195,열교환기-15,냉각기,공장A-3층,두산중공업,MOD-5860,2020-10-03,222.14,정상,2024-05-28,전류측정,정상,2024-08-12,응급정비,1569322
EQ0196,센서-16,펌프,공장A-3층,LS산전,MOD-1340,2020-09-28,103.92,주의,2024-06-30,소음진동,정상,2024-07-29,개선정비,2332861
EQ0197,냉각기-17,분사기,공장A-3층,케이시,MOD-160,2020-10-14,488.37,정상,2024-05-05,압력검사,정상,2024-08-08,응급정비,1220925
EQ0198,밸브-18,분사기,공장B-2층,삼성중공업,MOD-9230,2020-11-18,59.01,정상,2024-07-29,유량측정,경고,2023-10-02,응급정비,619139
EQ0199,컴프레서-19,제어판,공장A-2층,한화Q셀,MOD-1739,2020-06-12,381.73,주의,2023-12-30,온도측정,정상,2024-07-25,개선정비,2876015
EQ0200,열교환기-20,모터,공장B-2층,효성,MOD-6285,2020-07-12,395.87,정상,2024-06-03,압력검사,정상,2024-06-10,응급정비,1166852
EQ0201,열교환기-21,제어판,공장A-2층,한화Q셀,MOD-8070,2020-09-13,159.65,주의,2024-07-15,전류측정,정상,2024-03-20,사후정비,523990
EQ0202,펌프-22,펌프,공장A-3층,현대중공업,MOD-1352,2020-03-26,352.2,주의,2024-03-03,압력검사,정상,2024-07-23,사후정비,1441107
EQ0203,제어판-23,펌프,공장A-3층,현대중공업,MOD-4303,2020-03-23,91.82,부분결함,2024-04-27,절연저항,정상,2024-05-29,사후정비,2048818
EQ0204,열교환기-24,밸브,공장B-2층,두산중공업,MOD-8463,2020-04-13,165.67,정상,2024-04-04,온도측정,정상,2024-08-03,응급정비,962499
EQ0205,모터-25,제어판,공장B-2층,LS산전,MOD-9750,2020-08-23,404.56,경고,2024-07-14,온도측정,주의,2024-07-13,개선정비,2294017
EQ0206,밸브-26,열교환기,공장A-2층,현대중공업,MOD-3649,2020-05-23,439.11,정상,2024-02-03,온도측정,정상,2024-07-07,응급정비,1347381
EQ0207,밸브-27,모터,공장B-1층,삼성중공업,MOD-4297,2020-03-12,323.82,정상,2024-07-15,전류측정,경고,2024-06-05,예방정비,1020592
EQ0208,모터-28,펌프,공장A-2층,한화Q셀,MOD-7109,2020-02-06,278.08,정상,2024-07-15,전류측정,경고,2024-05-25,예방정비,2115879
EQ0209,변압기-29,밸브,공장B-2층,한화Q셀,MOD-6767,2020-02-19,121.69,주의,2024-05-26,외관검사,정상,2024-06-07,사후정비,745497
EQ0210,모터-30,제어판,창고-1층,두산중공업,MOD-2422,2020-06-05,78.4,정상,2024-05-30,온도측정,정상,2024-06-04,응급정비,1566622
EQ0211,모터-1,모터,공장B-2층,케이시,MOD-9928,2020-08-09,102.94,정상,2024-05-26,유량측정,정상,2024-02-06,개선정비,2046895
EQ0212,밸브-2,제어판,창고-1층,케이시,MOD-4190,2020-11-03,152.31,정상,2024-05-14,온도측정,정상,2024-05-05,예방정비,957395
EQ0213,분사기-3,분사기,공장A-1층,효성,MOD-7060,2020-12-10,203.75,경고,2024-08-05,온도측정,정상,2024-07-09,응급정비,2471671
EQ0214,밸브-4,밸브,공장B-2층,두산중공업,MOD-3104,2020-03-03,221.41,주의,2024-07-27,외관검사,정상,2024-08-07,개선정비,1898187
EQ0215,제어판-5,모터,공장A-1층,효성,MOD-5236,2020-06-15,205.84,주의,2024-08-19,유량측정,정상,2024-08-08,응급정비,1565979
EQ0216,펌프-6,변압기,공장B-1층,케이시,MOD-429,2020-01-07,157.57,정상,2024-07-06,절연저항,경고,2024-05-24,개선정비,846819
EQ0217,센서-7,냉각기,공장A-2층,두산중공업,MOD-3740,2020-12-17,279.38,정상,2024-03-16,외관검사,정상,2024-06-26,예방정비,1173165
EQ0218,분사기-8,냉각기,창고-1층,두산중공업,MOD-8082,2020-05-26,421.38,주의,2024-03-24,전류측정,정상,2024-05-26,개선정비,725853
EQ0219,컴프레서-9,모터,공장A-2층,두산중공업,MOD-4207,2020-08-20,175.87,정상,2024-06-04,소음진동,주의,2024-08-15,예방정비,1960836
EQ0220,센서-10,제어판,공장A-1층,케이시,MOD-1441,2020-05-04,474.07,정상,2024-05-10,유량측정,정상,2023-09-17,사후정비,808711
EQ0221,펌프-11,밸브,창고-1층,효성,MOD-8507,2020-12-12,443.0,주의,2024-06-15,유량측정,주의,2024-06-12,사후정비,1497006
EQ0222,제어판-12,냉각기,공장A-2층,효성,MOD-438,2020-04-28,122.79,부분결함,2024-07-29,외관검사,정상,2024-08-21,응급정비,626842
EQ0223,제어판-13,밸브,공장B-2층,두산중공업,MOD-5995,2020-08-18,403.82,주의,2024-04-25,전류측정,주의,2024-06-04,응급정비,1546931
EQ0224,컴프레서-14,냉각기,공장A-3층,현대중공업,MOD-2808,2020-01-19,308.56,주의,2024-07-31,외관검사,정상,2024-07-29,예방정비,1618088
EQ0225,분사기-15,분사기,공장A-1층,LS산전,MOD-1850,2020-09-04,304.96,부분결함,2024-08-22,전류측정,정상,2024-07-21,예방정비,1023296
EQ0226,변압기-16,제어판,공장A-2층,케이시,MOD-5704,2020-10-21,225.97,정상,2024-08-20,압력검사,경고,2024-07-09,개선정비,805299
EQ0227,모터-17,분사기,공장A-1층,LS산전,MOD-2521,2020-02-04,275.52,정상,2024-04-23,유량측정,주의,2024-08-09,개선정비,1744920
EQ0228,분사기-18,냉각기,창고-2층,LS산전,MOD-7219,2020-02-15,228.73,부분결함,2024-08-11,외관검사,경고,2024-01-20,개선정비,866697
EQ0229,변압기-19,변압기,공장A-1층,효성,MOD-9001,2020-02-04,292.88,정상,2024-07-28,전류측정,정상,2024-08-09,예방정비,1532688
EQ0230,제어판-20,변압기,창고-1층,효성,MOD-5419,2020-06-07,332.58,주의,2024-05-12,전류측정,경고,2024-08-16,응급정비,1668469
EQ0231,밸브-21,분사기,창고-2층,현대중공업,MOD-6709,2020-10-19,353.44,정상,2024-08-09,외관검사,주의,2024-06-25,개선정비,2018935
EQ0232,펌프-22,변압기,창고-1층,LS산전,MOD-5487,2020-03-26,289.62,정상,2024-07-07,소음진동,정상,2024-06-12,사후정비,1740270
EQ0233,컴프레서-23,냉각기,공장A-3층,LS산전,MOD-4093,2020-06-12,374.64,주의,2024-07-28,전류측정,경고,2024-06-29,응급정비,1893598
EQ0234,펌프-24,모터,창고-2층,두산중공업,MOD-8780,2020-03-13,113.58,부분결함,2024-04-27,압력검사,정상,2024-08-19,개선정비,1066126
EQ0235,냉각기-25,분사기,공장B-2층,효성,MOD-8144,2020-02-08,145.39,주의,2024-08-04,소음진동,정상,2024-07-26,예방정비,2227864
EQ0236,냉각기-26,컴프레서,공장A-1층,LS산전,MOD-8338,2020-05-15,418.43,정상,2024-07-23,전류측정,정상,2024-07-26,응급정비,2624289
EQ0237,분사기-27,제어판,공장A-2층,한화Q셀,MOD-4973,2020-01-03,195.14,경고,2024-03-30,외관검사,정상,2024-08-13,응급정비,1460373
EQ0238,제어판-28,변압기,공장B-1층,현대중공업,MOD-4906,2020-10-08,60.3,정상,2024-08-22,유량측정,정상,2024-07-16,응급정비,2688663
EQ0239,제어판-29,변압기,공장A-1층,한화Q셀,MOD-8692,2020-04-16,119.21,정상,2024-07-28,압력검사,경고,2023-10-07,응급정비,1263464
EQ0240,모터-30,펌프,공장A-1층,한화Q셀,MOD-6013,2020-07-10,150.63,정상,2024-05-21,외관검사,주의,2024-07-09,사후정비,300582
EQ0241,모터-1,열교환기,공장A-3층,케이시,MOD-7224,2020-12-14,480.8,정상,2024-06-18,소음진동,정상,2023-12-03,예방정비,922037
EQ0242,모터-2,분사기,공장B-2층,케이시,MOD-3257,2020-02-23,307.87,정상,2024-07-26,외관검사,정상,2024-04-09,개선정비,902316
EQ0243,밸브-3,센서,공장B-1층,현대중공업,MOD-490,2020-05-05,469.73,부분결함,2024-07-07,소음진동,정상,2023-11-23,예방정비,539827
EQ0244,센서-4,변압기,창고-2층,한화Q셀,MOD-4530,2020-06-13,308.82,주의,2024-08-14,전류측정,정상,2024-04-02,사후정비,546894
EQ0245,열교환기-5,제어판,창고-2층,LS산전,MOD-8920,2020-09-22,265.71,주의,2024-08-21,소음진동,정상,2024-06-17,사후정비,1377309
EQ0246,센서-6,컴프레서,창고-2층,효성,MOD-7786,2020-12-15,191.18,정상,2024-07-03,절연저항,경고,2024-02-16,응급정비,962423
EQ0247,펌프-7,변압기,창고-1층,현대중공업,MOD-4332,2020-08-07,322.87,부분결함,2024-08-16,외관검사,정상,2024-07-18,사후정비,2442524
EQ0248,센서-8,컴프레서,창고-1층,두산중공업,MOD-8107,2020-09-20,112.64,부분결함,2024-07-22,전류측정,정상,2024-01-09,개선정비,545762
EQ0249,밸브-9,냉각기,공장A-2층,한화Q셀,MOD-1621,2020-02-07,454.22,주의,2024-08-20,절연저항,정상,2024-07-18,예방정비,1963718
EQ0250,펌프-10,냉각기,공장B-1층,현대중공업,MOD-9118,2020-06-17,423.2,정상,2024-07-25,압력검사,정상,2024-07-21,예방정비,2068419
EQ0251,센서-11,열교환기,창고-2층,삼성중공업,MOD-1600,2020-11-25,192.89,정상,2024-08-02,전류측정,경고,2024-06-05,예방정비,1915807
EQ0252,밸브-12,모터,창고-1층,삼성중공업,MOD-6837,2020-09-28,478.76,정상,2024-07-24,압력검사,경고,2024-06-25,예방정비,1756356
EQ0253,열교환기-13,센서,공장A-2층,케이시,MOD-3394,2020-02-03,421.34,정상,2024-06-25,전류측정,정상,2024-04-24,예방정비,1218921
EQ0254,센서-14,펌프,공장B-2층,효성,MOD-5185,2020-05-05,349.84,정상,2023-11-03,절연저항,정상,2024-07-21,개선정비,2143172
EQ0255,밸브-15,열교환기,공장A-2층,LS산전,MOD-2519,2020-01-08,104.79,부분결함,2024-06-27,전류측정,주의,2024-05-01,개선정비,1498646
EQ0256,모터-16,밸브,창고-1층,효성,MOD-9226,2020-12-24,265.21,정상,2024-08-20,전류측정,정상,2024-05-01,예방정비,1601207
EQ0257,제어판-17,펌프,공장A-3층,효성,MOD-3142,2020-04-13,277.75,정상,2024-08-10,전류측정,정상,2024-07-01,사후정비,1447282
EQ0258,모터-18,분사기,공장A-3층,효성,MOD-4597,2020-07-15,154.65,정상,2024-07-29,절연저항,정상,2024-06-07,응급정비,1584174
EQ0259,제어판-19,제어판,창고-2층,효성,MOD-1566,2020-11-10,85.98,정상,2024-08-21,절연저항,정상,2024-06-29,예방정비,885724
EQ0260,컴프레서-20,밸브,공장A-3층,두산중공업,MOD-3661,2020-03-22,399.53,정상,2024-05-14,절연저항,경고,2024-07-20,사후정비,1585188
EQ0261,컴프레서-21,밸브,창고-2층,두산중공업,MOD-714,2020-10-10,104.92,정상,2024-07-27,외관검사,정상,2024-08-19,응급정비,686691
EQ0262,컴프레서-22,열교환기,창고-2층,케이시,MOD-5492,2020-12-09,317.43,정상,2024-06-23,압력검사,불량,2023-08-07,사후정비,501179
EQ0263,열교환기-23,모터,창고-1층,현대중공업,MOD-7793,2020-01-05,471.4,주의,2024-07-05,전류측정,주의,2024-06-22,예방정비,2190038
EQ0264,모터-24,열교환기,공장A-3층,삼성중공업,MOD-9474,2020-04-08,444.25,부분결함,2024-07-22,절연저항,정상,2024-07-21,예방정비,1838426
EQ0265,제어판-25,분사기,창고-2층,효성,MOD-3323,2020-11-12,174.99,정상,2024-06-17,유량측정,주의,2024-07-28,예방정비,2017040
EQ0266,밸브-26,변압기,공장B-1층,케이시,MOD-7238,2020-01-25,433.15,정상,2024-07-17,외관검사,정상,2024-06-11,예방정비,2644001
EQ0267,펌프-27,변압기,공장B-2층,현대중공업,MOD-2767,2020-06-20,50.15,경고,2024-04-27,온도측정,경고,2024-04-16,개선정비,1594761
EQ0268,밸브-28,모터,공장A-2층,삼성중공업,MOD-8080,2020-12-25,57.96,정상,2024-06-18,온도측정,정상,2024-06-07,개선정비,1065956
EQ0269,펌프-29,분사기,공장A-2층,한화Q셀,MOD-230,2020-11-05,321.15,정상,2024-08-05,소음진동,주의,2024-07-27,사후정비,1930542
EQ0270,냉각기-30,모터,창고-1층,LS산전,MOD-3083,2020-05-12,214.16,경고,2024-02-23,소음진동,정상,2024-01-16,예방정비,462299
EQ0271,밸브-1,컴프레서,공장A-3층,두산중공업,MOD-4378,2020-05-17,223.91,정상,2024-06-25,온도측정,정상,2024-06-14,응급정비,987997
EQ0272,센서-2,변압기,공장A-3층,한화Q셀,MOD-7226,2020-01-24,304.0,주의,2024-03-31,온도측정,정상,2024-07-19,응급정비,2405055
EQ0273,센서-3,밸브,창고-2층,삼성중공업,MOD-8330,2020-12-24,136.3,정상,2024-05-05,외관검사,불량,2024-08-16,개선정비,1848001
EQ0274,분사기-4,센서,공장A-1층,한화Q셀,MOD-7794,2020-12-15,145.29,정상,2024-07-11,소음진동,정상,2024-08-18,예방정비,1272441
EQ0275,모터-5,제어판,창고-2층,LS산전,MOD-6740,2020-06-12,268.07,정상,2024-07-12,전류측정,불량,2024-08-17,예방정비,465644
EQ0276,펌프-6,분사기,공장B-2층,케이시,MOD-5568,2020-11-20,389.41,주의,2024-08-20,전류측정,경고,2024-06-26,사후정비,1526260
EQ0277,펌프-7,펌프,공장B-1층,삼성중공업,MOD-1020,2020-02-14,328.77,정상,2024-07-25,유량측정,경고,2024-05-03,사후정비,1983656
EQ0278,모터-8,모터,공장A-2층,한화Q셀,MOD-7664,2020-02-09,183.81,정상,2024-06-03,압력검사,정상,2024-08-21,예방정비,1498854
EQ0279,열교환기-9,제어판,창고-2층,두산중공업,MOD-8784,2020-05-20,243.65,주의,2024-07-13,절연저항,주의,2024-08-01,예방정비,1667627
EQ0280,분사기-10,펌프,공장A-1층,두산중공업,MOD-9423,2020-10-01,126.8,정상,2024-07-15,전류측정,정상,2024-03-22,응급정비,772421
EQ0281,열교환기-11,제어판,공장A-1층,현대중공업,MOD-8602,2020-07-03,83.58,정상,2024-08-11,온도측정,정상,2024-06-18,응급정비,1932657
EQ0282,열교환기-12,센서,창고-2층,한화Q셀,MOD-9030,2020-06-05,402.21,경고,2024-06-08,전류측정,정상,2024-05-12,사후정비,1678757
EQ0283,열교환기-13,펌프,창고-1층,효성,MOD-3341,2020-05-27,169.42,정상,2024-06-12,외관검사,정상,2024-01-06,예방정비,1005960
EQ0284,모터-14,열교환기,공장A-2층,한화Q셀,MOD-645,2020-05-01,129.99,경고,2024-08-15,유량측정,불량,2024-06-24,예방정비,1178002
EQ0285,열교환기-15,냉각기,창고-1층,케이시,MOD-4446,2020-01-19,361.23,주의,2024-06-08,유량측정,주의,2024-07-21,개선정비,1179819
EQ0286,센서-16,열교환기,공장B-1층,삼성중공업,MOD-3910,2020-12-10,328.12,주의,2024-07-12,절연저항,정상,2024-06-25,사후정비,988617
EQ0287,컴프레서-17,변압기,공장A-1층,삼성중공업,MOD-7306,2020-04-21,334.94,정상,2024-03-30,외관검사,주의,2023-12-12,개선정비,658182
EQ0288,냉각기-18,냉각기,공장A-1층,케이시,MOD-9105,2020-02-24,153.0,부분결함,2024-06-20,온도측정,정상,2024-08-22,사후정비,2483505
EQ0289,펌프-19,열교환기,공장B-2층,한화Q셀,MOD-2132,2020-11-11,154.69,정상,2024-04-25,소음진동,정상,2024-08-09,개선정비,1771559
EQ0290,펌프-20,냉각기,공장B-1층,케이시,MOD-8536,2020-02-25,149.36,주의,2024-08-07,소음진동,정상,2024-06-03,개선정비,1588627
EQ0291,냉각기-21,냉각기,공장A-1층,LS산전,MOD-371,2020-02-25,128.19,정상,2024-08-22,온도측정,정상,2024-02-21,예방정비,1396199
EQ0292,모터-22,밸브,공장B-1층,케이시,MOD-3611,2020-07-24,345.08,정상,2024-07-25,온도측정,정상,2024-05-02,응급정비,1656034
EQ0293,밸브-23,모터,공장A-2층,두산중공업,MOD-1871,2020-11-18,431.61,정상,2024-07-14,온도측정,경고,2024-04-15,사후정비,1954956
EQ0294,모터-24,모터,공장A-3층,케이시,MOD-9554,2020-07-12,375.94,부분결함,2024-08-16,절연저항,정상,2024-01-05,개선정비,792209
EQ0295,펌프-25,밸브,공장A-1층,삼성중공업,MOD-4461,2020-06-20,406.44,부분결함,2024-04-10,전류측정,정상,2024-07-27,예방정비,1195883
EQ0296,펌프-26,제어판,공장B-2층,두산중공업,MOD-7169,2020-07-13,232.16,정상,2024-07-25,압력검사,경고,2024-07-23,사후정비,591606
EQ0297,냉각기-27,컴프레서,공장A-2층,삼성중공업,MOD-1020,2020-04-16,344.33,정상,2024-07-22,온도측정,불량,2024-07-12,사후정비,1965475
EQ0298,열교환기-28,제어판,창고-2층,현대중공업,MOD-8290,2020-02-10,209.41,주의,2024-07-14,온도측정,정상,2023-12-06,응급정비,1036917
EQ0299,모터-29,펌프,공장B-1층,효성,MOD-3530,2020-12-23,286.48,정상,2024-06-26,유량측정,정상,2024-05-05,개선정비,1814234
EQ0300,제어판-30,펌프,창고-2층,삼성중공업,MOD-4535,2020-08-18,266.74,정상,2024-06-20,소음진동,정상,2024-02-10,사후정비,1516563
